loss,accuracy,AUC,Precision,Recall,f1_score,img_size,colour_mode,augment,batch_size,epochs,filter,dropout,duration
0.67,0.627,0.605,0.631,0.969,0.769,300.0,grayscale,True,64.0,3.0,3.0,0.5,140.652
0.703,0.417,0.64,0.76,0.097,0.769,300.0,grayscale,False,64.0,3.0,3.0,0.5,141.317
0.645,0.724,0.769,0.762,0.813,0.769,300.0,rgb,True,64.0,3.0,3.0,0.5,163.839
0.682,0.625,0.42,0.625,1.0,0.769,300.0,rgb,False,64.0,3.0,3.0,0.5,163.804
0.418,0.804,0.89,0.812,0.895,0.769,150.0,grayscale,True,64.0,3.0,7.0,0.2,32.643
0.53,0.705,0.859,0.686,0.974,0.769,150.0,grayscale,False,64.0,3.0,7.0,0.2,32.547
0.649,0.662,0.757,0.659,0.951,0.769,150.0,rgb,True,64.0,3.0,7.0,0.2,40.678
0.624,0.708,0.89,0.685,0.987,0.769,150.0,rgb,False,64.0,3.0,7.0,0.2,40.762
0.598,0.737,0.714,0.721,0.946,0.769,300.0,grayscale,True,64.0,3.0,7.0,0.2,136.55
0.441,0.777,0.909,0.752,0.962,0.769,300.0,grayscale,False,64.0,3.0,7.0,0.2,136.869
0.58,0.72,0.749,0.723,0.892,0.769,300.0,rgb,True,64.0,3.0,7.0,0.2,161.106
0.661,0.668,0.669,0.713,0.785,0.769,300.0,rgb,False,64.0,3.0,7.0,0.2,161.394
0.674,0.625,0.5,0.625,1.0,0.769,150.0,grayscale,True,64.0,3.0,7.0,0.5,32.581
0.724,0.63,0.748,0.628,1.0,0.769,150.0,grayscale,False,64.0,3.0,7.0,0.5,32.538
0.688,0.619,0.55,0.63,0.946,0.769,150.0,rgb,True,64.0,3.0,7.0,0.5,40.721
0.666,0.625,0.515,0.625,1.0,0.769,150.0,rgb,False,64.0,3.0,7.0,0.5,40.661
0.646,0.625,0.725,0.625,1.0,0.769,300.0,grayscale,True,64.0,3.0,7.0,0.5,136.668
0.414,0.811,0.898,0.805,0.921,0.769,300.0,grayscale,False,64.0,3.0,7.0,0.5,137.862
0.726,0.638,0.692,0.635,0.987,0.769,300.0,rgb,True,64.0,3.0,7.0,0.5,161.314
0.671,0.638,0.729,0.647,0.926,0.769,300.0,rgb,False,64.0,3.0,7.0,0.5,160.947
0.489,0.763,0.868,0.734,0.972,0.769,150.0,grayscale,True,16.0,5.0,3.0,0.2,71.279
0.748,0.655,0.715,0.649,0.979,0.769,150.0,grayscale,False,16.0,5.0,3.0,0.2,71.237
0.829,0.635,0.728,0.631,1.0,0.769,150.0,rgb,True,16.0,5.0,3.0,0.2,78.107
0.725,0.654,0.705,0.647,0.982,0.769,150.0,rgb,False,16.0,5.0,3.0,0.2,78.057
0.762,0.696,0.75,0.687,0.944,0.769,300.0,grayscale,True,16.0,5.0,3.0,0.2,305.918
0.697,0.712,0.729,0.697,0.951,0.769,300.0,grayscale,False,16.0,5.0,3.0,0.2,306.082
0.684,0.7,0.757,0.687,0.956,0.769,300.0,rgb,True,16.0,5.0,3.0,0.2,332.2
0.735,0.691,0.792,0.683,0.944,0.769,300.0,rgb,False,16.0,5.0,3.0,0.2,332.142
0.766,0.628,0.65,0.627,1.0,0.769,150.0,grayscale,True,16.0,5.0,3.0,0.5,71.657
0.624,0.663,0.71,0.661,0.949,0.769,150.0,grayscale,False,16.0,5.0,3.0,0.5,71.09
0.728,0.625,0.657,0.627,0.99,0.769,150.0,rgb,True,16.0,5.0,3.0,0.5,77.996
0.462,0.788,0.946,0.974,0.679,0.769,150.0,rgb,False,16.0,5.0,3.0,0.5,78.184
0.707,0.696,0.685,0.692,0.923,0.769,300.0,grayscale,True,16.0,5.0,3.0,0.5,305.927
0.839,0.663,0.587,0.667,0.923,0.769,300.0,grayscale,False,16.0,5.0,3.0,0.5,306.128
0.625,0.631,0.703,0.647,0.903,0.769,300.0,rgb,True,16.0,5.0,3.0,0.5,332.294
0.726,0.678,0.712,0.679,0.918,0.769,300.0,rgb,False,16.0,5.0,3.0,0.5,332.219
0.386,0.811,0.912,0.809,0.913,0.769,150.0,grayscale,True,16.0,5.0,7.0,0.2,66.59
0.688,0.673,0.809,0.659,0.987,0.769,150.0,grayscale,False,16.0,5.0,7.0,0.2,67.99
0.47,0.816,0.872,0.815,0.913,0.769,150.0,rgb,True,16.0,5.0,7.0,0.2,73.839
